,tags
140,det amod nsubj punct prep compound compound compound compound pobj prep pobj punct aux ROOT amod compound dobj punct nsubj relcl poss amod amod compound dobj punct prep det nmod nummod amod compound pobj prep pobj prep amod prep pobj cc conj punct
141,amod compound amod compound nsubjpass aux auxpass ROOT det dobj prep amod pobj punct prep det pobj prep compound compound pobj nummod punct prep compound pobj punct aux advcl dobj prep amod compound pobj prep pobj punct
142,compound nsubj prep pobj punct amod appos prep det compound compound pobj punct ROOT det dobj aux acl prep pobj amod dobj prep det pobj cc conj punct advcl det dobj prep amod amod pobj punct
143,prep poss case pobj punct det nsubjpass aux auxpass ROOT agent det pobj acl prep det pobj punct compound appos punct appos prep det pobj punct compound conj cc amod conj prep det compound compound pobj punct
144,ROOT punct appos
145,punct compound nsubj ROOT npadvmod prep pcomp det dobj prep det dobj prep pobj nsubj aux pcomp aux xcomp punct
146,det amod nsubj prep quantmod quantmod pobj ROOT prep det compound compound pobj det dobj nsubj aux relcl det dobj prep det nmod nummod pobj punct advmod nsubj relcl prep det compound pobj punct
147,compound compound nsubj prep pobj punct appos prep det compound pobj punct ROOT mark amod nsubj prep det pobj aux ccomp det dobj punct
148,det compound nsubj ROOT mark nsubj aux advmod ccomp compound compound dobj prep det pobj aux advcl dobj prep amod pobj prep pobj nummod punct
149,det nsubj aux ccomp aux xcomp amod amod dobj punct prep nummod punct compound pobj punct prep pobj nummod aux auxpass relcl prep det nmod nummod pobj punct nsubj ROOT punct
150,nsubj advmod ROOT mark det nsubj aux neg ccomp amod dobj prep compound pobj mark det nsubj aux advcl det amod dobj punct
151,det compound nsubj ROOT prep pobj punct prep compound compound pobj punct nsubj relcl acomp punct
152,ROOT punct appos
153,punct nsubj ROOT prep det amod compound pobj prep poss case amod pobj npadvmod punct
154,compound compound nsubj prep pobj ROOT mark det compound compound nsubj acl agent det compound pobj prep pobj ccomp det attr prep amod pobj prep pobj cc compound conj aux acl prt dobj prep pobj punct det compound compound appos prep nummod pobj punct
155,advmod det nsubj advcl punct det nsubj ROOT punct npadvmod prep pobj punct advcl dobj prep det pobj punct advmod det amod nsubjpass aux auxpass relcl agent compound compound pobj prep pobj punct
156,nsubjpass prep det pobj auxpass ROOT agent pobj prep pobj cc compound conj punct
157,det nsubj aux ROOT prep quantmod quantmod quantmod quantmod pobj det amod npadvmod det nsubj aux relcl prep det amod compound pobj punct
158,nsubj ROOT dobj prep det amod pobj prep pobj aux acl nsubj cc amod amod conj ccomp dobj nsubj nsubj relcl aux advmod auxpass ccomp xcomp dobj prep amod pobj punct
159,nsubj prep amod pobj mark nsubj aux acl prep predet poss compound pobj prep amod pobj punct cc mark advmod amod nsubj aux conj advmod prep det amod pobj punct aux neg ROOT poss case dobj punct
160,det poss case nsubj ROOT advmod amod punct compound attr prep compound compound pobj prep pobj punct npadvmod punct appos punct compound compound appos prep pobj punct compound compound appos prep pobj cc compound conj prep compound pobj punct
161,punct punct nsubj ccomp det amod poss case attr punct punct ROOT nsubj punct
162,punct punct nsubj cc compound conj aux ROOT dobj punct
163,nsubj aux ROOT det amod compound dobj punct punct
164,ROOT punct appos
165,punct det compound nsubj punct advmod advcl prep det pobj punct ROOT npadvmod det npadvmod acl det dobj acl xcomp punct punct amod dobj punct punct
166,compound compound compound nsubj punct nsubj relcl dobj prep det nmod amod pobj punct aux ROOT prep quantmod quantmod nummod compound pobj det advmod punct amod punct punct compound poss punct dobj acl aux xcomp det amod cc conj amod compound compound dobj punct
167,det amod poss case nsubj prep pobj ROOT nummod compound attr punct
168,nsubj advmod aux ROOT amod punct amod amod dobj aux xcomp advmod advmod nummod compound compound dobj prep det pobj nsubj aux relcl punct
169,det nsubj prep det nummod punct compound compound pobj aux ROOT prep amod pobj punct
170,punct punct det nsubjpass prep det poss case pobj prep pobj punct conj punct conj cc conj punct cc nsubj aux neg relcl compound dobj punct auxpass neg ccomp aux xcomp prep det amod pobj punct punct ROOT nsubj punct
171,compound nsubjpass prep pobj auxpass neg ROOT aux xcomp det compound dobj punct
172,compound punct nsubj prep det nummod pobj advmod ROOT dobj prep pobj pobj pobj prep det pobj punct
173,ROOT punct appos punct appos punct punct
174,punct det nsubj prep pobj prep compound compound pobj aux ROOT compound compound compound dobj prep pobj punct npadvmod prep det poss case amod pobj punct
175,compound nsubj aux ROOT compound compound compound dobj punct nsubj aux relcl prep det pobj prep det amod compound pobj punct
176,compound nsubj ROOT det amod nmod prep pobj dobj prep det pobj prep pobj punct
177,nsubj advmod ROOT det nmod prep pobj dobj prep compound pobj cc compound conj cc det nmod prep pobj conj prep compound compound pobj punct npadvmod punct appos punct
178,prep pobj punct compound nsubj aux ROOT prep compound compound compound pobj cc compound conj prep pobj punct
179,prep poss compound pobj punct compound nsubj ROOT attr prep poss compound pobj cc conj det compound attr punct
180,compound nsubj aux ROOT prep pobj cc conj prep nmod amod pobj punct prep pobj cc amod conj prep pobj punct conj punct compound appos punct prep det pobj prep det pobj prep pobj punct cc conj det amod pobj prep pobj prep compound pobj punct appos punct compound conj punct
181,nsubj aux ROOT prep det compound pobj cc conj prep det compound pobj prep det compound pobj punct
182,ROOT punct appos punct appos punct punct
183,punct nsubj prep det nummod pobj prep det compound compound compound pobj aux auxpass attr acomp ROOT prep det nummod punct nummod pobj prep det pobj prep pobj punct compound compound ROOT punct
